integer,nameOfApplicant,typeOfConstruction,sizeOfConstruction,constructionLocationAddress,termOfTheContract,contractNumber,durationOfTheContract,dateOfTheResolution,contactPointHasEmail,contactPointHasTelephone
№ з/п.,Повне найменування заявника,Тип конструкції,Розміри,Адреса місця розташування,Строк дії дозволу,Номер договору,Строк дії договору,Дата рішення про надання дозволу,Електронна адреса розповсюджувача реклами,Телефон розповсюджувача реклами
1,"Приватне підприємство фірма ""Ставо""",Щит стаціонарний,1.50 х 3.00 х 2,Литвинівська вул. 24,2024-11-26,null,null,2019-11-26,null,null
2,"Приватне підприємство фірма ""Ставо""",Щит на фасаді,3.60 х 0.90 х 1,Литвинівська вул. 24,2024-11-26,null,null,2019-11-26,null,null
3,"Товариство з обмеженою відповідальністю ""Кростінді""",Щит на фасаді,4.35 х 1.40 х 1,Сумська вул. - Незалежності просп. 10-А,2024-10-30,null,null,2019-10-30,null,null
4,"Приватне підприємство фірма ""Ставо""",Щит на фасаді,5.50 х 2.20 х 1,Литвинівська вул. 22,2024-11-26,null,null,2019-11-26,null,null
5,Фізична особа-підприємець Ільясов Тимур Темирбулатович,Щит стаціонарний,1.20 x 1.80 x 2,Весніна вул. - Сумська вул.,2021-06-30,4312,2021-06-30,2020-09-09,null,null
6,"Товариство з обмеженою відповідальністю ""Клініка Рішон""",Щит на фасаді,14.05 х 0.95 х 1,Піщана вул. 11,2025-07-22,null,null,2020-07-22,null,null
7,"Товариство з обмеженою відповідальністю ""Клініка Рішон""",Кронштейн на фасаді,1.20 х 1.30 х 2,Піщана вул. 11,2025-01-29,null,null,2020-01-29,null,null
8,"Товариство з обмеженою відповідальністю ""Клініка Рішон""",Кронштейн на фасаді,1.20 х 1.30 х 2,Білобровський пров. - Піщана вул. 11,2025-01-29,null,null,2020-01-29,null,null
9,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Дахова конструкція,2.50 x 2.25 x 4,Павлівський м-н 6,2022-08-21,null,null,2017-08-21,null,null
10,"Товариство з обмеженою відповідальністю ""Рекламна агенція ХК""",Щит стаціонарний,6.00 х 3.00 х 2,Академіка Павлова вул. 130-Б,2023-08-31,11,2033-09-01,2018-10-24,null,null
11,"Товариство з обмеженою відповідальністю ""Аптека низьких цін Харків""",Щит на фасаді,6.39 х 1.10 х 1,Полтавський Шлях вул. - Розторгуївський пров. 2,2024-08-28,null,null,2019-08-28,null,null
12,"Товариство з обмеженою відповідальністю ""Стиль Д""",Щит на фасаді,1.80 х 2.00 х 1,Амурський пров. 1 ( № 3),2025-01-29,null,null,2020-01-29,null,null
13,"Товариство з обмеженою відповідальністю ""Мєгастар""",Щит на фасаді,6.00 х 3.00 х 1,Героїв Сталінграда просп. - Гагаріна просп. 181,2024-10-30,null,null,2019-10-30,null,null
14,"Рекламне агентство ""Стар"" у формі товариства з обмеженою відповідальністю",Щит стаціонарний,6.00 х 3.00 х 2,Гвардійців-Широнінців вул. 54,2021-06-30,4175,2021-06-30,2019-05-15,null,null
15,"Товариство з обмеженою відповідальністю ""Аптека № 308""",Щит на фасаді,4.06 х 0.88 х 1,Пушкінська вул. 74,2025-07-22,null,null,2020-07-22,null,null
16,"Приватне акціонерне товариство ""Страхова компанія ""ПЗУ Україна""",Кронштейн на фасаді,0.80 х 0.80 х 2,Пушкінська вул. 68,2025-04-22,null,null,2020-04-22,null,null
17,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит стаціонарний,2.98 х 2.40 х 2,Пискунівська вул. - Різдвяна вул.,2022-06-30,4954,2022-06-30,2019-12-24,null,null
18,"Товариство з обмеженою відповідальністю фірма ""Бріг ЛТД""",Щит стаціонарний,1.70 x 3.00 x 2,Московський просп. 247,2022-06-30,5056,2022-06-30,2021-02-10,null,null
19,Фізична особа-підприємець Крилова Вікторія Геннадіївна,Щит на фасаді,2.70 х 0.70 х 1,Сумська вул. 102,2026-06-23,null,null,2021-06-23,null,null
20,Фізична особа-підприємець Надточий Таїсія Володимирівна,Щит на фасаді,3.60 х 0.61 х 1,Лисаветинська вул. 3-А,2026-01-20,null,null,2021-01-20,null,null
21,"Товариство з обмеженою відповідальністю ""Перша Мамологія""",Щит на огорожі,2.00 х 1.00 х 1,Пушкінська вул. 14-А,2026-06-23,null,null,2021-06-23,null,null
